observation_id,type,text,source,year
people-children,relationship,Children under 15 make up a much larger share of the population in Africa and South Asia than in Europe or East Asia — birth rates in sub-Saharan Africa are roughly 4–5 times higher than in Japan,,
people-children,anchor,"In Niger, more than half the population is under 15 — one of the youngest age structures in the world, compared to under 15% in most of Europe",,
people-children,anchor,36.4% of Pakistan's population consists of children aged 0–14 (under 15 years old),,
people-children,anchor,24% of India's population falls within the 0–14 age bracket (under 15 years old),,
people-children,anchor,"""India has roughly 350 million children under 15 — more than the entire population of the United States""",,
people-children,anchor,28% of Bangladesh's population belongs to the 0–14 age demographic (under 15 years old),,
people-elderly,relationship,The share of people over 65 is rising in almost every country — driven by falling birth rates and longer lives — creating new pressures on pension and healthcare systems,,
people-elderly,anchor,"Japan leads the world in population ageing — nearly 30% of its population is over 65, compared to under 3% in many sub-Saharan African countries",,
people-urban,relationship,"Lagos, Dhaka, and Delhi each add millions of residents every year — cities in the global south now account for most of the world's urban population growth",,
people-urban,relationship,In 1950 only about 30 in every 100 people lived in cities; by 2050 that figure is expected to reach 68 — urbanisation has been one of the defining shifts of the modern era,,
people-urban,anchor,"Sub-Saharan Africa is the world's fastest-urbanising region, with around 45% of its population already in cities — yet it remains less urbanised than every other major world region",,
people-doctors,relationship,Most of the world's doctors are clustered in wealthy countries — sub-Saharan Africa has less than 3% of global physicians despite holding 16% of the world's population,,
people-doctors,relationship,The US alone has more registered doctors than all of sub-Saharan Africa combined — medical training and healthcare investment are heavily concentrated in high-income nations,,
people-doctors,relationship,"Global physician numbers have grown 60% since 2000, but mostly in countries that were already well-supplied — the distribution gap has barely narrowed",,
people-doctors,anchor,"Norway has about 40 doctors per 1,000 people; Niger has fewer than 0.1 — a 400-fold gap driven by wealth, training capacity, and migration of healthcare workers to richer countries",,
people-nurses,relationship,"Nurses and midwives outnumber doctors roughly two to one globally, and in many rural areas they are the only healthcare providers that communities ever see",,
people-nurses,anchor,Sub-Saharan Africa faces a shortage of over 4 million nurses — its healthcare systems rely heavily on community health workers who have no formal nursing qualification,,
people-teachers,relationship,"Teacher shortages are far more severe in low-income countries than high-income ones — in many wealthy nations teacher-to-student ratios have improved for decades, while in sub-Saharan Africa they've worsened",,
people-teachers,anchor,Sub-Saharan Africa will need to hire around 17 million more teachers by 2030 just to achieve universal primary education — in some schools there is one teacher for 60 or more children,,
people-farmers,relationship,"More than 90% of the world's farms are smallholdings under 2 hectares — most are in Asia and sub-Saharan Africa, where agriculture remains the primary livelihood for billions",,
people-farmers,relationship,"The share of the workforce in agriculture is dramatically higher in low-income countries — in Ethiopia over 70% work the land, while in the UK and US it's under 2%",,
people-farmers,anchor,"In South Asia and sub-Saharan Africa, roughly half of all workers are in agriculture — compared to under 5% in wealthy nations, reflecting how mechanisation has transformed farming in richer countries",,
people-poverty,relationship,"The share of people in extreme poverty fell from nearly 40% in 1990 to under 10% by 2019 — then stalled as COVID-19, conflict, and climate disruption reversed progress in many regions",,
people-poverty,relationship,More than 90% of people in extreme poverty live in sub-Saharan Africa or South Asia — in some countries more than half the population lives below the $2.15-a-day line,,
people-poverty,anchor,"In the Democratic Republic of Congo, over 75% of the population lives in extreme poverty — one of the highest rates anywhere in the world",,
people-internet,relationship,"India crossed 800 million internet users in 2023 — a single country now has more people online than the entire world did in 2005, reflecting how fast connectivity has spread",,
people-internet,relationship,"Internet access has grown faster than almost any technology in history — from fewer than 1 in 50 people in 1997 to a clear majority today — yet hundreds of millions remain offline, mostly in rural Africa and South Asia",,
