id,entity_id,metric_id,geography_id,time_period_id,population_group_id,value,unit_id,source_id,confidence,notes
people-children,children-under-15,population-count,world,2023,all,2570000000,people,un-pop,high,"About 1 in 4 people on Earth is under 15. High birth rates in Africa and South Asia keep this number significant, though it has fallen from 1 in 3 just 50 years ago."
people-elderly,elderly-over-65,population-count,world,2023,all,1020000000,people,un-pop,high,"Around 10% of the world is over 65 — a proportion that will double by 2050 as populations in wealthy nations age rapidly."
people-urban,urban-residents,population-count,world,2023,all,5700000000,people,un-pop,high,"For the first time in history, more than half of humanity lives in urban areas. By 2050 that will be closer to 700 out of 1,000."
people-doctors,doctors,population-count,world,2023,all,40000000,people,who,medium,"The world has about 4 doctors per 1,000 people globally, but this hides enormous inequality — some wealthy nations have 35 per 1,000 while some low-income nations have fewer than 0.2."
people-nurses,nurses-midwives,population-count,world,2023,all,100000000,people,who,medium,"There are roughly 10 nurses and midwives per 1,000 people globally, forming the backbone of healthcare in most of the world."
people-teachers,primary-teachers,population-count,world,2023,all,70000000,people,world-bank,medium,"Roughly 70 million primary school teachers serve the world's 700 million primary-age students — an average class size of about 24, though in many regions classes have 50+ students."
people-farmers,agricultural-workers,population-count,world,2023,all,2800000000,people,fao,medium,"About 28% of the global workforce is in agriculture, mostly smallholder farmers in Asia and Africa. In wealthy nations this figure is under 5%."
people-poverty,extreme-poor,population-count,world,2023,all,870000000,people,world-bank,medium,"Around 700–900 million people live on less than $2.15 per day (2017 PPP). This figure has fallen dramatically — it was over 1,900 per 1,000 in 1990."
people-internet,internet-users,population-count,world,2023,all,6700000000,people,itu,high,"About two-thirds of humanity is now online. The remaining third — mostly in rural sub-Saharan Africa and South Asia — are the focus of major connectivity efforts."
people-no-internet,people-without-internet,population-count,world,2023,all,2600000000,people,itu,high,"About one-third of humanity is still offline. These people, mostly in rural sub-Saharan Africa and South Asia — are the focus of major connectivity efforts."
people-smartphones,smartphone-owners,population-count,world,2023,all,5450000000,people,itu,medium,"More than half of all people now carry a smartphone — a technology that barely existed 20 years ago. Mobile phones have leapfrogged wired infrastructure in the developing world."
