id,observation_id,type,text
fact-children-general,people-children,general,"Children under 15 make up about 1 in 4 people globally, but the proportion varies hugely — from over 40% in some African countries to under 15% in aging European nations"
fact-elderly-general,people-elderly,general,"The share of people over 65 is rising in almost every country — driven by falling birth rates and longer lives — creating new pressures on pension and healthcare systems"
fact-urban-anchor,people-urban,scale_anchor,"Lagos, Dhaka, and Delhi each add millions of residents every year — cities in the global south now account for most of the world's urban population"
fact-urban-trend,people-urban,trend,"In 1950 only about 30 in every 100 people lived in cities; by 2050 that figure is expected to reach 68 — urbanisation is one of the defining shifts of the modern era"
fact-urban-general,people-urban,general,"More than half of humanity now lives in cities, a proportion that was under 30% in 1950 — and urbanisation continues fastest in Africa and Asia"
fact-doctors-geo,people-doctors,geographic,"Most of the world's doctors are clustered in wealthy countries — sub-Saharan Africa has less than 3% of global physicians despite 16% of the world's population"
fact-doctors-anchor,people-doctors,scale_anchor,"The US alone has more registered doctors than all of sub-Saharan Africa combined"
fact-doctors-inequality,people-doctors,inequality,"Norway has 40 doctors per 1,000 people; Niger has fewer than 0.1"
fact-doctors-trend,people-doctors,trend,"Global physician numbers have grown 60% since 2000, but mostly in countries that were already well-supplied"
fact-doctors-general,people-doctors,general,"The world has about 4 doctors per 1,000 people on average, but this average hides enormous inequality between wealthy and low-income nations"
fact-nurses-anchor,people-nurses,scale_anchor,"Sub-Saharan Africa faces a shortage of over 4 million nurses — its healthcare systems rely heavily on community health workers who have no formal nursing qualification"
fact-nurses-general,people-nurses,general,"Nurses and midwives outnumber doctors roughly two to one globally, and in many rural areas they are the only healthcare providers that communities ever see"
fact-teachers-anchor,people-teachers,scale_anchor,"Sub-Saharan Africa will need to hire around 17 million more teachers by 2030 just to achieve universal primary education — a goal many countries are far from reaching"
fact-teachers-general,people-teachers,general,"About 70 million primary school teachers serve the world's youngest learners, but shortages are acute in sub-Saharan Africa where some schools have one teacher for 60 or more children"
fact-farmers-geographic,people-farmers,geographic,"More than 90% of the world's farms are smallholdings under 2 hectares — most are in Asia and sub-Saharan Africa, where agriculture remains the primary livelihood for billions"
fact-farmers-general,people-farmers,general,"Despite making up over a quarter of the global workforce, farmers — mostly smallholders in Asia and Africa — are disproportionately represented among the world's poorest people"
fact-poverty-geographic,people-poverty,geographic,"More than 90% of people in extreme poverty live in sub-Saharan Africa or South Asia — in some countries more than half the population lives below the $2.15-a-day line"
fact-poverty-trend,people-poverty,trend,"The share of people in extreme poverty fell from nearly 40% in 1990 to under 10% by 2019 — then stalled as COVID-19, conflict, and climate disruption reversed progress in many regions"
fact-poverty-general,people-poverty,general,"About 9 in 10 extremely poor people live in sub-Saharan Africa or South Asia — a geographic concentration that shapes where foreign aid and development programs focus"
fact-internet-anchor,people-internet,scale_anchor,"India crossed 800 million internet users in 2023 — a single country now has more people online than the entire world did in 2005"
fact-internet-trend,people-internet,trend,"Internet access grew from fewer than 2% of the global population in 1997 to about 67% today — one of the fastest diffusions of any technology in history"
fact-internet-general,people-internet,general,"Internet access has grown faster than almost any technology in history — from fewer than 1 in 50 people in 1997 to roughly 2 in 3 today — yet the last third remain largely offline"
fact-smartphones-anchor,people-smartphones,scale_anchor,"China and India together account for roughly a third of all smartphone users on Earth — scale in just two countries that dwarfs most continents"
fact-smartphones-general,people-smartphones,general,"More people now own a smartphone than have access to safely managed drinking water — a striking illustration of how consumer technology has outpaced basic infrastructure"
fact-literate-geographic,people-literate,geographic,"About two-thirds of the world's 770 million illiterate adults are women — and most are concentrated in South Asia and sub-Saharan Africa"
fact-literate-general,people-literate,general,"Global adult literacy has risen from roughly 56% in 1970 to 87% today, one of the most consistent improvements in human capability over the past half-century"
fact-calories-anchor,food-calories-daily,scale_anchor,"The United States throws away enough food each year to provide every American with 1,400 calories a day — while 700 million people globally go to bed hungry"
fact-calories-general,food-calories-daily,general,"The world produces enough calories to feed every person — the challenge is that food is unevenly distributed, with wealthy populations consuming far more than they need while hundreds of millions go hungry"
fact-waste-anchor,food-waste,scale_anchor,"The food wasted globally each year would be enough to feed every hungry person on Earth more than twice over"
